"Select Store to Pickup","Select Store to Pickup"
"Store Pickup","Store Pickup"
Mile,Mile
Km,Km
Default,Default
"Blue Essence","Blue Essence"
"Dark Grey","Dark Grey"
"Light Grey","Light Grey"
"Mid Night","Mid Night"
Custom,Custom
Close,Close
Open,Open
"Store Name","Store Name"
State/province,State/province
Toplink,Toplink
Footerlink,Footerlink
Category,Category
"-- Please Select --","-- Please Select --"
"The module is disabled","The module is disabled"
"There is no sample file for this entity.","There is no sample file for this entity."
"Available Pickup Store(s)","Available Pickup Store(s)"
"No such entity","No such entity"
"No stores","No stores"
"Applied %1 store","Applied %1 store"
"Applied %1 stores","Applied %1 stores"
"All Store Views","All Store Views"
"Upload Images","Upload Images"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
"Image Size","Image Size"
"Image Resolution","Image Resolution"
"Use Config","Use Config"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Track Order","Track Order"
"Incl. Tax","Incl. Tax"
"Pickup Time: ","Pickup Time: "
"No shipping information available","No shipping information available"
"Order Information","Order Information"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Pickup Time:","Pickup Time:"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
"Select Store","Select Store"
"Please select store.","Please select store."
"Store Address","Store Address"
"Pickup Time","Pickup Time"
"There is no pickup location where all selected items are available.","There is no pickup location where all selected items are available."
Cancel,Cancel
"Please select from the store list beside or below","Please select from the store list beside or below"
"Pickup Date","Pickup Date"
"Pickup Hour","Pickup Hour"
Submit,Submit
"See available pickup stores","See available pickup stores"
"Filter Radius","Filter Radius"
"Back to results","Back to results"
"Get Directions","Get Directions"
"Phone 2","Phone 2"
"There is no locations found.","There is no locations found."
"My billing and shipping address are the same","My billing and shipping address are the same"
Update,Update
"New Address","New Address"
"Store Locator","Store Locator"
Enable,Enable
"Select <b>Yes</b> to enable this module.","Select <b>Yes</b> to enable this module."
Title,Title
"Default Website","Default Website"
"Default Store Image","Default Store Image"
"Head Background Image","Head Background Image"
"The recommended size is 1366x400 px.","The recommended size is 1366x400 px."
"Head Icon","Head Icon"
"The recommended size is 400x300 px.","The recommended size is 400x300 px."
"Bottom Static Block","Bottom Static Block"
"Select a CMS Static Block to have it displayed in the Footer Store Locator page.","Select a CMS Static Block to have it displayed in the Footer Store Locator page."
"Display Link On","Display Link On"
"Enable Get Direction","Enable Get Direction"
"Filter Store","Filter Store"
"Auto-filter By Current Position","Auto-filter By Current Position"
"Map Settings","Map Settings"
"Google Map API Key","Google Map API Key"
"Get Google Map API <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank"">here</a>.","Get Google Map API <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank"">here</a>."
"Map Style","Map Style"
"Custom Style","Custom Style"
"Find more map style <a href=""https://snazzymaps.com/"" target=""_blank"">here</a>.","Find more map style <a href=""https://snazzymaps.com/"" target=""_blank"">here</a>."
"Default Zoom","Default Zoom"
"Default zoom level when selecting a store.","Default zoom level when selecting a store."
"Separated by commas (,)","Separated by commas (,)"
"Default Radius","Default Radius"
"Distance Unit","Distance Unit"
"Maker Icon","Maker Icon"
"This icon will be shown on the map. 20x20 px is recommended, <a href=""https://www.flaticon.com/search?word=map%20marker"" target=""_blank"">sample icons</a>.","This icon will be shown on the map. 20x20 px is recommended, <a href=""https://www.flaticon.com/search?word=map%20marker"" target=""_blank"">sample icons</a>."
"Store Time Default","Store Time Default"
monday,monday
tuesday,tuesday
wednesday,wednesday
thursday,thursday
friday,friday
saturday,saturday
sunday,sunday
"Time Zone","Time Zone"
SEO,SEO
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Mageplaza Store Pickup","Mageplaza Store Pickup"
"Method Name","Method Name"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Pickup ready after","Pickup ready after"
"day(s). The minimum number of days after placing orders, after which customers can pick up the products. If empty or 0, products are always available at store for customers to pick up.","day(s). The minimum number of days after placing orders, after which customers can pick up the products. If empty or 0, products are always available at store for customers to pick up."
"The display order of this shipping method. The smallest one will be displayed first.","The display order of this shipping method. The smallest one will be displayed first."
"Add New","Add New"
Delete,Delete
"Delete Holidays","Delete Holidays"
"Are you sure you want to delete selected Holidays?","Are you sure you want to delete selected Holidays?"
"Change status","Change status"
Yes,Yes
No,No
"No. of Locations","No. of Locations"
"Created Date","Created Date"
Edit,Edit
"Store View","Store View"
"Delete Locations","Delete Locations"
"Are you sure you want to delete selected Locations?","Are you sure you want to delete selected Locations?"
"Change visibility","Change visibility"
"Zip code","Zip code"
